"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2020","186.500","184.100","196.400","184.000","246.14K","1.36%"
"06/23/2020","184.000","197.300","205.800","182.500","399.27K","-0.81%"
"06/22/2020","185.500","182.900","186.800","179.500","124.29K","2.09%"
"06/19/2020","181.700","179.400","188.500","176.000","271.89K","2.37%"
"06/18/2020","177.500","176.200","183.200","175.200","142.52K","-0.67%"
"06/17/2020","178.700","176.000","179.100","171.600","135.33K","0.34%"
"06/16/2020","178.100","185.000","185.800","174.500","169.72K","-0.72%"
"06/15/2020","179.400","175.000","180.900","171.000","139.92K","0.17%"
"06/12/2020","179.100","184.100","184.500","174.800","149.30K","2.75%"
"06/11/2020","174.300","181.800","187.700","173.900","205.74K","-9.12%"
"06/10/2020","191.800","201.100","205.000","190.700","189.48K","-3.13%"
"06/09/2020","198.000","202.500","213.000","198.000","242.99K","-5.80%"
"06/08/2020","210.200","190.000","210.200","186.000","403.40K","11.87%"
"06/05/2020","187.900","190.200","193.200","185.100","198.03K","-1.16%"
"06/04/2020","190.100","192.800","194.700","188.200","216.35K","-1.25%"
"06/03/2020","192.500","198.000","199.800","192.100","203.22K","-1.69%"
"06/02/2020","195.800","195.000","200.400","188.000","254.79K","1.82%"
"06/01/2020","192.300","192.700","197.000","183.200","245.27K","-0.21%"
"05/29/2020","192.700","200.100","201.500","190.000","725.67K","-9.10%"
"05/28/2020","212.000","211.200","232.400","207.900","443.22K","0.71%"
"05/27/2020","210.500","210.000","222.000","202.800","243.21K","-2.41%"
"05/26/2020","215.700","221.500","225.700","211.900","300.80K","-6.05%"
"05/25/2020","229.600","224.300","236.000","220.600","206.56K","2.14%"
"05/22/2020","224.800","223.500","236.500","215.600","537.69K","-6.72%"
"05/21/2020","241.000","240.000","246.800","209.600","903.52K","35.32%"
"05/20/2020","178.100","188.500","193.100","168.200","397.71K","-12.70%"
"05/19/2020","204.000","263.800","267.900","195.100","819.05K","32.90%"
"05/15/2020","153.500","116.900","167.400","109.700","1.80M","66.85%"
"05/14/2020","92.000","78.600","97.000","75.000","384.93K","10.98%"
"05/13/2020","82.900","88.400","89.000","78.900","255.28K","-8.70%"
"05/12/2020","90.800","101.100","102.300","90.200","197.70K","-13.11%"
"05/11/2020","104.500","110.900","113.900","98.600","155.89K","-4.30%"
"05/08/2020","109.200","115.200","115.200","109.200","72.78K","-5.21%"
"05/07/2020","115.200","118.800","118.800","115.200","21.71K","-3.03%"
"05/06/2020","118.800","120.000","120.000","116.400","26.84K","0.00%"
"05/05/2020","118.800","118.800","121.200","117.600","23.27K","-1.00%"
"05/04/2020","120.000","120.000","122.400","116.400","22.97K","-0.99%"
"05/01/2020","121.200","122.400","122.400","117.600","30.59K","-0.98%"
"04/30/2020","122.400","126.000","126.000","122.400","29.88K","-3.77%"
"04/29/2020","127.200","124.800","128.400","123.600","45.37K","1.92%"
"04/28/2020","124.800","132.000","133.200","121.200","43.03K","-2.80%"
"04/27/2020","128.400","123.600","133.200","122.400","75.84K","3.88%"
"04/24/2020","123.600","121.200","123.600","117.600","38.91K","1.98%"
"04/23/2020","121.200","122.400","124.800","118.800","27.09K","-0.98%"
"04/22/2020","122.400","123.600","124.800","120.000","21.90K","0.00%"
"04/21/2020","122.400","120.000","122.400","118.800","29.09K","0.00%"
"04/20/2020","122.400","116.400","124.800","114.000","63.62K","5.15%"
"04/17/2020","116.400","114.000","126.000","114.000","63.97K","4.30%"
"04/16/2020","111.600","120.000","120.000","110.400","52.76K","-6.06%"
"04/15/2020","118.800","123.600","124.800","117.600","63.31K","-5.71%"
"04/14/2020","126.000","128.400","129.600","123.600","58.04K","-0.94%"
"04/13/2020","127.200","133.200","138.000","122.400","153.45K","-13.11%"
"04/09/2020","146.400","146.400","156.000","143.400","68.70K","1.67%"
"04/08/2020","144.000","136.800","146.400","134.400","81.74K","7.14%"
"04/07/2020","134.400","141.600","141.600","133.200","59.54K","0.00%"
"04/06/2020","134.400","144.000","146.400","133.200","78.69K","-0.88%"
"04/03/2020","135.600","144.000","146.400","133.200","68.60K","-5.04%"
"04/02/2020","142.800","141.600","154.800","138.000","88.83K","2.59%"
"04/01/2020","139.200","148.800","151.200","133.200","89.39K","-7.94%"
"03/31/2020","151.200","153.600","168.000","150.000","106.32K","-2.33%"
"03/30/2020","154.800","175.200","175.200","145.200","127.00K","-11.64%"
"03/27/2020","175.200","180.000","189.600","162.000","230.33K","15.87%"
"03/26/2020","151.200","130.800","169.200","129.600","229.32K","18.87%"
"03/25/2020","127.200","126.000","138.000","120.000","117.48K","0.95%"
